seq_header	DECI_Kingdom	DECI_Phylum	DECI_Class	DECI_Order	DECI_Family	DECI_Genus	DECI_Species	RDP_Kingdom	RDP_Phylum	RDP_Class	RDP_Order	RDP_Family	RDP_Genus	RDP_Species	Control.pool.R1.fastq	MOB.021.Rec.R1.fastq	MOB.021.Vag.R1.fastq	MOB.022.Rec.R1.fastq	MOB.022.Vag.R1.fastq	MOB.029.Rec.R1.fastq	MOB.029.Vag.R1.fastq	MOB.037.Rec.R1.fastq	MOB.037.Vag.R1.fastq	MOB.055.Rec.R1.fastq	MOB.055.Vag.R1.fastq	MOB.103.Rec.R1.fastq	MOB.103.Vag.R1.fastq	MOB.175.Rec.R1.fastq	MOB.175.Vag.R1.fastq	MOB.195.Rec.R1.fastq	MOB.195.Vag.R1.fastq	MOB.280.Rec.R1.fastq	MOB.280.Vag.R1.fastq	MOB.281.Rec.R1.fastq	MOB.281.Vag.R1.fastq	PCR.NTC.R1.fastq	Zymo.R1.fastq
11	032fc3717d8136fccddb555b0aa201a3	Bacteria	Firmicutes_A	Clostridia	NA	NA	NA	NA	Bacteria	Firmicutes_A	Clostridia	CAG-41	UBA1381	CAG-41	CAG-41_sp1(GB_GCA_900066215.1)	0	24	12	0	2	0	0	0	2175	0	0	0	12	12	0	0	53	0	0	0	0	0	0
12	035ad98bd0dda78fb27fe31be1db9542	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-273	NA	Bacteria	Firmicutes_A	Clostridia	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0
13	03b36938b4c3304943bf61da36a0d7b9	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	UBA10281	NA	Bacteria	Firmicutes_A	Clostridia	NA	NA	NA	NA	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	03b438e8945bb405ad54ea802a1f031f	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	NA	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides_merdae(RS_GCF_000307345.1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0
15	03c2cbcf4a5a50d3adaa940aa1a2dc3e	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus_C	NA	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus_C	NA	0	590	20	0	11	0	0	0	8550	0	6	0	0	27	0	0	0	0	0	3	0	0	0
16	0428f34e06d10292413e05ea744737c0	NA	NA	NA	NA	NA	NA	NA	Bacteria	NA	NA	NA	NA	NA	NA	0	0	6	0	0	0	0	0	14	0	0	0	0	0	0	0	2	0	0	0	0	0	0
17	049c2666ad8b1b254b233c9d8569b8f2	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	NA	NA	Bacteria	Firmicutes_A	Clostridia	Clostridiales	Clostridiaceae	Clostridium_P	Clostridium_P_ventriculi(RS_GCF_001485185.1)	0	32	0	0	532	0	0	0	9322	0	0	0	2	23	0	0	80	0	3	49	0	0	0
18	04dbc415f0c472a6a93a8eccbbccbb82	Bacteria	NA	NA	NA	NA	NA	NA	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	5	0	0
19	05f1167ae98979d3e27316d437c8fb19	Bacteria	NA	NA	NA	NA	NA	NA	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	992a	(RS_GCF_001940245.1)	0	28	86	0	14	0	0	0	8378	0	8	0	67	41	2	0	167	0	16	11	0	0	0
20	060f9a91bf788781f516f238db98774b	Bacteria	Proteobacteria	NA	NA	NA	NA	NA	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CHKCI001	(RS_GCF_900045905.1)	0	15	0	0	0	0	0	0	179	0	0	0	38	0	0	0	0	0	0	0	0	0	0
21	066679fecffe217b149669a8810efe4d	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sneathia	NA	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sneathia	Sneathia_sanguinegens(RS_GCF_001517935.1)	0	0	0	0	0	0	0	0	0	1936	0	3974	263	0	244	0	0	0	0	0	0	0	0
22	06ef1a5270e60001177ef64940cda3df	Bacteria	NA	NA	NA	NA	NA	NA	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	NA	NA	0	0	0	0	0	0	724	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0
23	07344813241294a1a795ff50cb3690fa	Bacteria	NA	NA	NA	NA	NA	NA	Bacteria	Firmicutes_A	Clostridia	Tissierellales	Peptoniphilaceae	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0
24	0768514062769b8a19243a153b144d6f	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	NA	NA	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Microbacteriaceae	Cryobacterium	NA	0	0	0	0	0	0	0	0	0	0	24	0	0	0	41	67	0	0	0	0	0	0	0
25	07b01a3019b3d3c5172fe10d82c1e94e	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	NA	NA	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	Oscillibacter_ruminantium(RS_GCF_000307265.1)	0	0	28	0	81	0	0	0	63	0	0	0	20	0	0	0	8	0	2	0	0	0	0
26	07ba0e18d78837d5c989218ba853981d	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	NA	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	Coprococcus_eutactus(RS_GCF_000154425.1)	0	0	0	0	35	0	0	0	7455	0	44	0	99	12	0	0	249	0	0	29	11	0	0
27	07bfa28aa9d8c3da74c70a713f00c0ac	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Varibaculum	NA	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Varibaculum	NA	8	175	98	0	20	0	15	0	0	26	11	0	118	16	0	62	220	1	7	42	35	0	522
28	07c047c0fbe140e247f605bb0bdb02f6	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Brevibacteriaceae	Brevibacterium	NA	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Brevibacteriaceae	Brevibacterium	NA	5	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	8	0	0	0	0	0	0
29	0851bc8505ad4015ea5e87f6bb1812df	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	NA	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	(GB_GCA_900066555.1)	0	20	8	0	26	0	0	0	43	0	20	0	18	0	0	0	16	0	0	0	0	0	0
30	0915dbc007af70044655fa7182245b90	NA	NA	NA	NA	NA	NA	NA	Bacteria	Firmicutes_A	Clostridia	Tissierellales	Helcococcaceae	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0
31	09abbfffeca758016bcb3f87b7e15051	Bacteria	Firmicutes_A	Clostridia	Tissierellales	Helcococcaceae	Murdochiella	NA	Bacteria	Firmicutes_A	Clostridia	Tissierellales	Helcococcaceae	Murdochiella	Murdochiella_massiliensis(RS_GCF_900059565.1)	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
32	09d371b258f229060cb012ce31082b0c	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Ruminococcus_B	Ruminococcus_B_faecis(RS_GCF_001406755.1)	0	15	48	0	21	0	0	0	1067	0	233	0	0	29	0	0	116	0	0	3	0	0	0
33	0a12f0ba9368845875eb8bfb20552d33	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Ruminococcus_B	Ruminococcus_B_gnavus(RS_GCF_000526735.1)	0	0	5	0	143	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	0a3635b314250278d7d2ea23dbdd66a3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	NA	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas_uenonis(RS_GCF_000482365.1)	0	180	120	0	0	0	0	0	0	0	0	0	29	9	0	0	11	0	0	0	20	0	57
35	0a6f447f80189d748056be256138025f	Bacteria	Firmicutes_A	Clostridia	Tissierellales	Helcococcaceae	Khoudiadiopia	NA	Bacteria	Firmicutes_A	Clostridia	Tissierellales	Helcococcaceae	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
36	0a83f1f3d65f020316d0dd3a129c48d5	Bacteria	Firmicutes_A	Clostridia	Tissierellales	Peptoniphilaceae	Urinacoccus	NA	Bacteria	Firmicutes_A	Clostridia	Tissierellales	Peptoniphilaceae	Urinacoccus	(RS_GCF_000221565.1)	2	173	4	0	0	0	0	0	0	0	0	3	648	0	14	250	6	0	0	0	0	0	0
37	0a84a376a22f74b449aeb43465f942cc	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-83	NA	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	Oscillibacter_ruminantium(RS_GCF_000307265.1)	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	0b210d6c32bfd4997be043480a2d71db	Bacteria	NA	NA	NA	NA	NA	NA	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	NA	0	0	0	0	0	0	721	3	0	0	0	0	0	0	0	18	0	0	25	0	0	0	0
39	0b968d667205d161e75bad4207af9cd9	Bacteria	NA	NA	NA	NA	NA	NA	Bacteria	Firmicutes	Bacilli_A	Paenibacillales	Paenibacillaceae	Paenibacillus_G	Paenibacillus_G_tyrfis(RS_GCF_900188505.1)	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
40	0be8d33cf87f5424c998b16d02569337	Bacteria	Firmicutes_A	Clostridia	NA	NA	NA	NA	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	NA	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	0c90fb9807826b75cbf0466f33dd6a95	NA	NA	NA	NA	NA	NA	NA	Bacteria	Firmicutes_A	Clostridia	NA	NA	NA	NA	0	0	12	0	0	0	0	0	0	0	0	0	834	0	0	47	0	0	0	0	0	0	0
42	0ce08c2e03e2b5f9a5149992344cf79a	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	NA	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella_sp17(RS_GCF_000834015.1)	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	0d03577ec715095c2b3ea1a6a2b35073	NA	NA	NA	NA	NA	NA	NA	Bacteria	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
44	0d07d1f936710bf2ba9a1c67e6678c84	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	NA	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus_iners(RS_GCF_000177755.1)	0	944	0	0	0	7474	0	18367	0	0	0	0	0	0	0	2271	0	0	0	0	0	0	0
45	0d2ded46e5bf9d5c7996476cd072d87e	Bacteria	NA	NA	NA	NA	NA	NA	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Fusicatenibacter	Fusicatenibacter_saccharivorans(RS_GCF_001405555.1)	0	0	0	0	0	0	0	0	1077	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	0d42594e10e26c49eb57708ad2da8b56	Bacteria	Firmicutes_A	Clostridia	Tissierellales	Peptoniphilaceae	Peptoniphilus_A	NA	Bacteria	Firmicutes_A	Clostridia	Tissierellales	Peptoniphilaceae	Peptoniphilus_A	(RS_GCF_001553125.1)	17	5827	2132	0	255	64	5	1275	0	118	604	16	8042	109	103	2292	2080	3	432	228	780	0	576
47	0da4e3327380897493816e193a9e0659	Bacteria	Firmicutes_A	Clostridia	Tissierellales	Helcococcaceae	Anaerococcus	NA	Bacteria	Firmicutes_A	Clostridia	Tissierellales	Helcococcaceae	Anaerococcus	(RS_GCF_001811125.1)	0	0	0	0	0	0	0	0	0	132	0	0	0	0	6808	0	0	0	6	0	0	0	0
48	0da55989d139499e8303510c5deeab2b	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	Zag111	NA	Bacteria	Cyanobacteriota	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	Zag111	(GB_GCA_001899395.1)	0	0	0	0	13	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
49	0e00414ffd1606e1429229b4c53b2b25	Bacteria	NA	NA	NA	NA	NA	NA	Bacteria	NA	NA	NA	NA	NA	NA	0	9	5	0	44	0	0	0	409	0	0	0	38	5	0	0	143	0	0	0	0	0	0
50	0e43e342b461fdae9ae6e0fa8c1c4721	Bacteria	Firmicutes_A	Clostridia	Tissierellales	Peptoniphilaceae	Urinacoccus	NA	Bacteria	Firmicutes_A	Clostridia	Tissierellales	Peptoniphilaceae	Urinacoccus	(RS_GCF_000221565.1)	2	0	0	0	2	0	0	0	0	0	0	0	35	0	0	516	75	0	0	0	0	0	0
51	0e529fa6cb1b5ab3157b69559613d382	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	NA	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	UBA6382	UBA6382_sp4(GB_GCA_002437625.1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
52	0ea0f04b19285de43c0cd30b5bbb8747	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Butyrivibrio_A	NA	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	0	0	0	0	223	0	0	0	0	0	0	0	1	15	0	0	231	0	0	0	1	0	0
53	0f0cb1bf72af637a563f224ebbe4a724	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	NA	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	NA	0	0	0	0	0	0	7	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0
54	0f6f93dba7eb80656953a944f7d7c3ce	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Parasutterella	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Parasutterella	(GB_GCA_000980495.1)	0	0	0	0	0	0	0	0	548	0	0	0	89	0	0	0	0	0	0	7	0	0	0
55	0fa0576c89d08af37815a83823763249	Bacteria	NA	NA	NA	NA	NA	NA	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	NA	NA	0	24	0	0	15	0	0	0	0	0	8	0	4	0	0	0	28	0	0	0	0	0	0
56	0fc0a27cf667a229557fd513cb37da87	Bacteria	NA	NA	NA	NA	NA	NA	Bacteria	Firmicutes_A	Clostridia	Tissierellales	Peptoniphilaceae	Neofamilia	Neofamilia_massiliensis(RS_GCF_001299475.1)	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0
57	0fefb565288ca63482316ae122ca9b81	Bacteria	Actinobacteriota	NA	NA	NA	NA	NA	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella_aerofaciens_A(RS_GCF_002736145.1)	3	152	259	0	943	0	0	0	1527	0	252	0	232	198	29	0	388	0	21	20	10	0	0
58	1045679992c594ea24fea6fae6158cbe	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	NA	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0
59	107c1b48834866fa26b3df29838c7ca6	Bacteria	NA	NA	NA	NA	NA	NA	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	NA	NA	0	5	54	0	0	0	0	0	0	0	0	0	41	0	0	0	18	0	3	0	0	0	0
60	10f370e75a62bbf8a8038cc414440ace	NA	NA	NA	NA	NA	NA	NA	Bacteria	NA	NA	NA	NA	NA	NA	0	72	0	0	1	0	0	0	0	0	0	0	48	8	0	0	19	0	0	0	307	0	0
61	1148e50325ea67006fe7dc050a7a5ff4	Bacteria	Firmicutes_A	Clostridia	Tissierellales	Peptoniphilaceae	Peptoniphilus_C	NA	Bacteria	Firmicutes_A	Clostridia	Tissierellales	Peptoniphilaceae	Peptoniphilus_C	Peptoniphilus_C_coxii(RS_GCF_001553115.1)	15	0	0	0	168	0	0	0	0	0	0	0	26	0	315	973	183	0	0	0	0	0	0
62	11682cbb7e1443621d7f0713926e71df	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	NA	NA	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	NA	NA	NA	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63	1181f10875d1d86cb2ffb14411123a9b	Bacteria	Firmicutes_A	Clostridia	Tissierellales	Peptoniphilaceae	Peptoniphilus_C	NA	Bacteria	Firmicutes_A	Clostridia	Tissierellales	Peptoniphilaceae	Peptoniphilus_C	Peptoniphilus_C_urinimassiliensis(RS_GCF_900155585.1)	8	4521	427	0	1206	0	0	0	0	10	225	0	1900	67	324	470	260	0	41	0	214	0	564
64	1252b8649ca7c718f18cfee496bd7327	Bacteria	Firmicutes_A	Clostridia	Tissierellales	Peptoniphilaceae	Peptoniphilus_A	NA	Bacteria	Firmicutes_A	Clostridia	Tissierellales	Peptoniphilaceae	Peptoniphilus_A	(RS_GCF_001553125.1)	0	0	0	0	0	0	0	0	0	0	0	0	315	0	0	0	0	0	0	0	0	0	0
65	125ca02b9097058898993fff7288714e	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus_C	NA	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus_C	Ruminococcus_C_callidus(RS_GCF_000468015.1)	0	78	7	0	397	0	0	0	0	0	0	0	97	0	1	0	138	0	0	0	0	0	0
66	1289884b3da244861a8fed8aa15b39fa	Bacteria	NA	NA	NA	NA	NA	NA	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotellamassilia	Prevotellamassilia_timonensis(RS_GCF_900106785.1)	0	0	0	0	39	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
67	142811aab627f7f26261dac882308c7a	Bacteria	NA	NA	NA	NA	NA	NA	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	NA	NA	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0
68	142b5b579a23a41bff5112def2fd3a44	Bacteria	NA	NA	NA	NA	NA	NA	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	0	0	0	0	158	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0
69	1490ad402a87370868ed46608a7214b3	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella_E	NA	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	UBA1382	(RS_GCF_002159625.1)	0	12	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	9	0	0
70	14b29b57e2e2623daa00f64d371b88c3	NA	NA	NA	NA	NA	NA	NA	Bacteria	Verrucomicrobiota	Lentisphaeria	UBA1784	GWF2-45-14	GWF2-44-16	(GB_GCA_001803225.1)	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0
71	14dd6a4eb82cd96a273814ff5df038f2	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Dermabacteraceae	Brachybacterium	NA	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Dermabacteraceae	Brachybacterium	Brachybacterium_muris(RS_GCF_000338055.1)	2	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	8	0	0	0	0	0	0
72	14e351fb74393fe725e22e4acd4f41b3	Bacteria	NA	NA	NA	NA	NA	NA	Bacteria	Firmicutes_A	Clostridia	Tissierellales	Helcococcaceae	Lagierella	Lagierella_massiliensis(RS_GCF_001407835.1)	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0
73	14ff33d0286b101ab25d7803faea0d33	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	NA	Bacteria	Firmicutes_C	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	NA	0	0	0	0	0	0	0	0	481	0	48	0	0	8	72	4	0	0	0	4	0	0	0
74	156ee55ebf56891dd1b1b6ca3526ed0a	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	NA	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
75	15db4c9faf3eaca1172fb3b64ce88494	Bacteria	NA	NA	NA	NA	NA	NA	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella_bergensis(RS_GCF_000160535.1)	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
76	15e5e44e4e0b997ab8e170d9e7efe6bc	NA	NA	NA	NA	NA	NA	NA	Bacteria	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0
77	1607348e5742adcd23f9c5f447a72233	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas_A	NA	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas_A	(RS_GCF_900109775.1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
